"ticker","date","amount"
"TD.TO","1995-03-10",0.0550
"TD.TO","1995-06-13",0.0550
"TD.TO","1995-09-12",0.0550
"TD.TO","1995-12-12",0.0625
"TD.TO","1996-03-12",0.0625
"TD.TO","1996-06-18",0.0625
"TD.TO","1996-10-10",0.0625
"TD.TO","1996-12-17",0.0700
"TD.TO","1997-03-18",0.0700
"TD.TO","1997-06-17",0.0700
"TD.TO","1997-09-16",0.0700
"TD.TO","1997-12-16",0.0800
"TD.TO","1998-03-17",0.0800
"TD.TO","1998-06-16",0.0850
"TD.TO","1998-09-15",0.0850
"TD.TO","1998-12-15",0.0850
"TD.TO","1999-03-16",0.0850
"TD.TO","1999-09-14",0.0950
"TD.TO","1999-12-14",0.1050
"TD.TO","2000-03-14",0.1050
"TD.TO","2000-06-13",0.1250
"TD.TO","2000-09-12",0.1250
"TD.TO","2000-12-12",0.1250
"TD.TO","2001-03-13",0.1400
"TD.TO","2001-06-12",0.1400
"TD.TO","2001-09-18",0.1400
"TD.TO","2001-12-18",0.1400
"TD.TO","2002-03-12",0.1400
"TD.TO","2002-06-18",0.1400
"TD.TO","2002-09-17",0.1400
"TD.TO","2002-12-18",0.1400
"TD.TO","2003-03-18",0.1400
"TD.TO","2003-06-17",0.1400
"TD.TO","2003-09-16",0.1600
"TD.TO","2003-12-16",0.1600
"TD.TO","2004-03-16",0.1700
"TD.TO","2004-06-15",0.1700
"TD.TO","2004-09-14",0.1800
"TD.TO","2004-12-14",0.1800
"TD.TO","2005-03-15",0.2000
"TD.TO","2005-06-14",0.2000
"TD.TO","2005-09-13",0.2100
"TD.TO","2005-12-13",0.2100
"TD.TO","2006-03-14",0.2200
"TD.TO","2006-06-13",0.2200
"TD.TO","2006-09-12",0.2400
"TD.TO","2007-01-02",0.2400
"TD.TO","2007-04-02",0.2650
"TD.TO","2007-07-03",0.2650
"TD.TO","2007-10-01",0.2850
"TD.TO","2008-01-02",0.2850
"TD.TO","2008-04-01",0.2950
"TD.TO","2008-07-07",0.2950
"TD.TO","2008-10-01",0.3050
"TD.TO","2009-01-02",0.3050
"TD.TO","2009-04-01",0.3050
"TD.TO","2009-07-02",0.3050
"TD.TO","2009-10-01",0.3050
"TD.TO","2010-01-04",0.3050
"TD.TO","2010-04-01",0.3050
"TD.TO","2010-07-02",0.3050
"TD.TO","2010-10-01",0.3050
"TD.TO","2011-01-04",0.3050
"TD.TO","2011-04-01",0.3300
"TD.TO","2011-07-04",0.3300
"TD.TO","2011-10-03",0.3400
"TD.TO","2012-01-03",0.3400
"TD.TO","2012-04-02",0.3600
"TD.TO","2012-07-03",0.3600
"TD.TO","2012-10-01",0.3850
"TD.TO","2013-01-02",0.3850
"TD.TO","2013-04-01",0.4050
"TD.TO","2013-07-05",0.4050
"TD.TO","2013-10-01",0.4250
"TD.TO","2014-01-02",0.4300
"TD.TO","2014-04-01",0.4700
"TD.TO","2014-07-07",0.4700
"TD.TO","2014-10-01",0.4700
"TD.TO","2015-01-02",0.4700
"TD.TO","2015-04-02",0.5100
"TD.TO","2015-07-07",0.5100
"TD.TO","2015-10-02",0.5100
"TD.TO","2016-01-06",0.5100
"TD.TO","2016-04-06",0.5500
"TD.TO","2016-07-06",0.5500
"TD.TO","2016-10-05",0.5500
"TD.TO","2017-01-06",0.5500
"TD.TO","2017-04-06",0.6000
"TD.TO","2017-07-06",0.6000
"TD.TO","2017-10-05",0.6000
"TD.TO","2018-01-09",0.6000
"TD.TO","2018-04-09",0.6700
"TD.TO","2018-07-09",0.6700
"TD.TO","2018-10-09",0.6700
"TD.TO","2019-01-09",0.6700
"TD.TO","2019-04-09",0.7400
"TD.TO","2019-07-09",0.7400
"TD.TO","2019-10-09",0.7400
"TD.TO","2020-01-09",0.7400
"TD.TO","2020-04-08",0.7900
"TD.TO","2020-07-09",0.7900
"TD.TO","2020-10-08",0.7900
"TD.TO","2021-01-07",0.7900
"TD.TO","2021-04-08",0.7900
"TD.TO","2021-07-08",0.7900
"TD.TO","2021-10-07",0.7900
"TD.TO","2022-01-07",0.8900
"TD.TO","2022-04-07",0.8900
"TD.TO","2022-07-07",0.8900
"TD.TO","2022-10-06",0.8900
"TD.TO","2023-01-05",0.9600
"TD.TO","2023-04-05",0.9600
"TD.TO","2023-07-07",0.9600
"TD.TO","2023-10-05",0.9600
"TD.TO","2024-01-09",1.0200
"TD.TO","2024-04-08",1.0200
"TD.TO","2024-07-10",1.0200
"TD.TO","2024-10-10",1.0200
"TD.TO","2025-01-10",1.0500
"TD.TO","2025-04-10",1.0500
"TD.TO","2025-07-10",1.0500
"TD.TO","2025-10-10",1.0500
"TD.TO","2026-01-09",1.0800
"TD.TO","2026-04-09",1.0800
